,UserName,DeltaPercentage,TotalViewerCount,LeaversFollowers
277,西門夜說,-0.40472246021245506,28278737,0
278,Rakyz,0.4237430631793,1181966,1
279,PinkWardlol,0.2538877782272235,3211728,1
280,lol_Khan,-0.3873507172548851,1530934,2
281,하로맨,0.31643711676135394,966965,0
282,피닉스박1,-0.007973353511655401,5863276,0
283,Faker,-2.00833763730067,66177341,8
284,한동숙,6.382581132829792,50998396,3
285,NoWay4u_Sir,0.07256885261619583,38866827,3
286,Solary,-1.0802678267041443,87110241,1
287,SoloRenektonOnly,1.3201709426846588,11653376,4
288,スタンミ,0.8881655082985485,5913220,0
289,테디이,0.9504030393212681,2350766,2
290,pankylol,0.22062423119935515,4455633,0
291,clid,-0.07654389103448067,957268,1
292,루시아,0.46669842150073926,5064775,1
293,西門夜說,-0.24858477754388697,28278737,0
294,lol_Khan,-0.13306973368205,1530934,1
295,인간젤리,0.24897667803072743,8507920,3
296,Rakyz,0.528686295334544,1181966,1
297,하로맨,0.22350768814074923,966965,0
298,PinkWardlol,0.09242476314794001,3211728,1
299,피닉스박1,0.034320981185029686,5863276,0
300,FabulousN,-0.09254649889106176,1613365,0
301,PanunuLoL,-0.205162760872453,1490736,3
302,Faker,3.175549168524899,66177341,8
303,한동숙,6.1741376946589135,50998396,2
304,NoWay4u_Sir,-0.03524861859889672,38866827,3
305,Solary,-0.9151049860397089,87110241,0
306,SoloRenektonOnly,1.1807038286010547,11653376,4
307,スタンミ,0.5969299839420974,5913220,0
308,pankylol,0.03865348110967748,4455633,0
309,테디이,0.153956066412279,2350766,2
310,박옥자누나,0.6467454036712263,5336005,2
311,clid,-0.8006834824317942,957268,1
312,lol_Khan,-0.1846525647534769,1530934,1
313,Rakyz,0.5124377014889681,1181966,1
314,루시아,0.24354305942818288,5064775,1
315,西門夜說,-0.4241500288157203,28278737,0
316,인간젤리,0.042291608105746725,8507920,2
317,FabulousN,0.09446099011468312,1613365,0
318,하로맨,0.17827414431486993,966965,0
319,피닉스박1,0.0016820471095286837,5863276,0
320,PinkWardlol,-0.041577375611714484,3211728,1
321,OgamingLoL,-0.5888623934211942,164950493,2
322,Faker,-0.8388214484721388,66177341,7
323,한동숙,4.059641503220602,50998396,2
324,NoWay4u_Sir,0.779741457943385,38866827,3
325,jovirone,0.8533772467692002,56151830,2
326,Solary,-1.110318884004966,87110241,0
327,SoloRenektonOnly,1.277766885985499,11653376,4
328,pankylol,0.31909580952660743,4455633,0
329,スタンミ,0.5065011582551877,5913220,0
330,lol_Khan,0.8526144665281743,1530934,1
331,테디이,0.29028666416758586,2350766,2
332,Rakyz,0.7238527270741786,1181966,1
